scenario,seed,metric_group,metric,scale,proposed,simple,per_agent,proposed_minus_simple,proposed_minus_per_agent,interpretation_class
None,20260815,Behavior distribution,Behavior.TVD,fixed_8_categories,0.000858539641,0.773738938529,0.0,-0.772880398888,0.000858539641,Primary accuracy
None,20260816,Behavior distribution,Behavior.TVD,fixed_8_categories,0.000536720903,0.781591430153,0.0,-0.78105470925,0.000536720903,Primary accuracy
None,20260817,Behavior distribution,Behavior.TVD,fixed_8_categories,0.000322086015,0.781535396026,0.0,-0.781213310011,0.000322086015,Primary accuracy
None,20260818,Behavior distribution,Behavior.TVD,fixed_8_categories,0.000214741839,0.781507371984,0.0,-0.7812926301449999,0.000214741839,Primary accuracy
None,20260819,Behavior distribution,Behavior.TVD,fixed_8_categories,0.001180198173,0.773822913018,0.0,-0.772642714845,0.001180198173,Primary accuracy
None,20260820,Behavior distribution,Behavior.TVD,fixed_8_categories,0.000107397671,0.781423271928,0.0,-0.781315874257,0.000107397671,Primary accuracy
None,20260821,Behavior distribution,Behavior.TVD,fixed_8_categories,0.001608827213,0.773660126453,0.0,-0.7720512992399999,0.001608827213,Primary accuracy
None,20260822,Behavior distribution,Behavior.TVD,fixed_8_categories,0.000644011624,0.781619440239,0.0,-0.780975428615,0.000644011624,Primary accuracy
None,20260823,Behavior distribution,Behavior.TVD,fixed_8_categories,0.000107379835,0.781734141996,0.0,-0.781626762161,0.000107379835,Primary accuracy
None,20260824,Behavior distribution,Behavior.TVD,fixed_8_categories,0.000214741839,0.781507371984,0.0,-0.7812926301449999,0.000214741839,Primary accuracy
None,20260825,Behavior distribution,Behavior.TVD,fixed_8_categories,0.000751284535,0.781647445677,0.0,-0.780896161142,0.000751284535,Primary accuracy
None,20260826,Behavior distribution,Behavior.TVD,fixed_8_categories,0.0,0.781451309936,0.0,-0.781451309936,0.0,Primary accuracy
None,20260827,Behavior distribution,Behavior.TVD,fixed_8_categories,0.000107397671,0.781423271928,0.0,-0.781315874257,0.000107397671,Primary accuracy
None,20260828,Behavior distribution,Behavior.TVD,fixed_8_categories,0.000429412368,0.781563415415,0.0,-0.781134003047,0.000429412368,Primary accuracy
None,20260829,Behavior distribution,Behavior.TVD,fixed_8_categories,0.000751284535,0.781647445677,0.0,-0.780896161142,0.000751284535,Primary accuracy
None,20260830,Behavior distribution,Behavior.TVD,fixed_8_categories,0.000322086015,0.781535396026,0.0,-0.781213310011,0.000322086015,Primary accuracy
None,20260831,Behavior distribution,Behavior.TVD,fixed_8_categories,0.001608827213,0.773660126453,0.0,-0.7720512992399999,0.001608827213,Primary accuracy
None,20260832,Behavior distribution,Behavior.TVD,fixed_8_categories,0.000322086015,0.781790194735,0.0,-0.78146810872,0.000322086015,Primary accuracy
None,20260833,Behavior distribution,Behavior.TVD,fixed_8_categories,0.000751284535,0.781902244386,0.0,-0.781150959851,0.000751284535,Primary accuracy
None,20260834,Behavior distribution,Behavior.TVD,fixed_8_categories,0.000322086015,0.781790194735,0.0,-0.78146810872,0.000322086015,Primary accuracy
None,20260835,Behavior distribution,Behavior.TVD,fixed_8_categories,0.000107397671,0.781423271928,0.0,-0.781315874257,0.000107397671,Primary accuracy
None,20260836,Behavior distribution,Behavior.TVD,fixed_8_categories,0.000107379835,0.781479343287,0.0,-0.781371963452,0.000107379835,Primary accuracy
None,20260837,Behavior distribution,Behavior.TVD,fixed_8_categories,0.000107397671,0.781423271928,0.0,-0.781315874257,0.000107397671,Primary accuracy
None,20260838,Behavior distribution,Behavior.TVD,fixed_8_categories,0.000965776946,0.773766934671,0.0,-0.772801157725,0.000965776946,Primary accuracy
None,20260839,Behavior distribution,Behavior.TVD,fixed_8_categories,0.00032224654,0.781367181938,0.0,-0.781044935398,0.00032224654,Primary accuracy
None,20260840,Behavior distribution,Behavior.TVD,fixed_8_categories,0.000214741839,0.781507371984,0.0,-0.7812926301449999,0.000214741839,Primary accuracy
None,20260841,Behavior distribution,Behavior.TVD,fixed_8_categories,0.000322086015,0.781535396026,0.0,-0.781213310011,0.000322086015,Primary accuracy
None,20260842,Behavior distribution,Behavior.TVD,fixed_8_categories,0.000751284535,0.781902244386,0.0,-0.781150959851,0.000751284535,Primary accuracy
None,20260843,Behavior distribution,Behavior.TVD,fixed_8_categories,0.000107397671,0.781423271928,0.0,-0.781315874257,0.000107397671,Primary accuracy
None,20260844,Behavior distribution,Behavior.TVD,fixed_8_categories,0.001180198173,0.782014219663,0.0,-0.78083402149,0.001180198173,Primary accuracy
None,20260815,Commitment continuity diagnostic,Continuity.CommitmentTaskActiveStatusMismatchRate,restore_home_relevant_paired_snapshots=0,0.0,1.0,0.0,-1.0,0.0,Secondary commitment diagnostic
None,20260816,Commitment continuity diagnostic,Continuity.CommitmentTaskActiveStatusMismatchRate,restore_home_relevant_paired_snapshots=0,0.0,1.0,0.0,-1.0,0.0,Secondary commitment diagnostic
None,20260817,Commitment continuity diagnostic,Continuity.CommitmentTaskActiveStatusMismatchRate,restore_home_relevant_paired_snapshots=0,0.0,1.0,0.0,-1.0,0.0,Secondary commitment diagnostic
None,20260818,Commitment continuity diagnostic,Continuity.CommitmentTaskActiveStatusMismatchRate,restore_home_relevant_paired_snapshots=0,0.0,0.0,0.0,0.0,0.0,Secondary commitment diagnostic
None,20260819,Commitment continuity diagnostic,Continuity.CommitmentTaskActiveStatusMismatchRate,restore_home_relevant_paired_snapshots=0,0.0,1.0,0.0,-1.0,0.0,Secondary commitment diagnostic
None,20260820,Commitment continuity diagnostic,Continuity.CommitmentTaskActiveStatusMismatchRate,restore_home_relevant_paired_snapshots=0,0.0,1.0,0.0,-1.0,0.0,Secondary commitment diagnostic
None,20260821,Commitment continuity diagnostic,Continuity.CommitmentTaskActiveStatusMismatchRate,restore_home_relevant_paired_snapshots=0,0.0,1.0,0.0,-1.0,0.0,Secondary commitment diagnostic
None,20260822,Commitment continuity diagnostic,Continuity.CommitmentTaskActiveStatusMismatchRate,restore_home_relevant_paired_snapshots=0,0.0,1.0,0.0,-1.0,0.0,Secondary commitment diagnostic
None,20260823,Commitment continuity diagnostic,Continuity.CommitmentTaskActiveStatusMismatchRate,restore_home_relevant_paired_snapshots=0,0.0,1.0,0.0,-1.0,0.0,Secondary commitment diagnostic
None,20260824,Commitment continuity diagnostic,Continuity.CommitmentTaskActiveStatusMismatchRate,restore_home_relevant_paired_snapshots=0,0.0,1.0,0.0,-1.0,0.0,Secondary commitment diagnostic
None,20260825,Commitment continuity diagnostic,Continuity.CommitmentTaskActiveStatusMismatchRate,restore_home_relevant_paired_snapshots=0,0.0,1.0,0.0,-1.0,0.0,Secondary commitment diagnostic
None,20260826,Commitment continuity diagnostic,Continuity.CommitmentTaskActiveStatusMismatchRate,restore_home_relevant_paired_snapshots=0,0.0,1.0,0.0,-1.0,0.0,Secondary commitment diagnostic
None,20260827,Commitment continuity diagnostic,Continuity.CommitmentTaskActiveStatusMismatchRate,restore_home_relevant_paired_snapshots=0,0.0,1.0,0.0,-1.0,0.0,Secondary commitment diagnostic
None,20260828,Commitment continuity diagnostic,Continuity.CommitmentTaskActiveStatusMismatchRate,restore_home_relevant_paired_snapshots=0,0.0,1.0,0.0,-1.0,0.0,Secondary commitment diagnostic
None,20260829,Commitment continuity diagnostic,Continuity.CommitmentTaskActiveStatusMismatchRate,restore_home_relevant_paired_snapshots=0,0.0,1.0,0.0,-1.0,0.0,Secondary commitment diagnostic
None,20260830,Commitment continuity diagnostic,Continuity.CommitmentTaskActiveStatusMismatchRate,restore_home_relevant_paired_snapshots=0,0.0,1.0,0.0,-1.0,0.0,Secondary commitment diagnostic
None,20260831,Commitment continuity diagnostic,Continuity.CommitmentTaskActiveStatusMismatchRate,restore_home_relevant_paired_snapshots=0,0.0,1.0,0.0,-1.0,0.0,Secondary commitment diagnostic
None,20260832,Commitment continuity diagnostic,Continuity.CommitmentTaskActiveStatusMismatchRate,restore_home_relevant_paired_snapshots=0,0.0,1.0,0.0,-1.0,0.0,Secondary commitment diagnostic
None,20260833,Commitment continuity diagnostic,Continuity.CommitmentTaskActiveStatusMismatchRate,restore_home_relevant_paired_snapshots=0,0.0,1.0,0.0,-1.0,0.0,Secondary commitment diagnostic
None,20260834,Commitment continuity diagnostic,Continuity.CommitmentTaskActiveStatusMismatchRate,restore_home_relevant_paired_snapshots=0,0.0,1.0,0.0,-1.0,0.0,Secondary commitment diagnostic
None,20260835,Commitment continuity diagnostic,Continuity.CommitmentTaskActiveStatusMismatchRate,restore_home_relevant_paired_snapshots=0,0.0,1.0,0.0,-1.0,0.0,Secondary commitment diagnostic
None,20260836,Commitment continuity diagnostic,Continuity.CommitmentTaskActiveStatusMismatchRate,restore_home_relevant_paired_snapshots=0,0.0,1.0,0.0,-1.0,0.0,Secondary commitment diagnostic
None,20260837,Commitment continuity diagnostic,Continuity.CommitmentTaskActiveStatusMismatchRate,restore_home_relevant_paired_snapshots=0,0.0,1.0,0.0,-1.0,0.0,Secondary commitment diagnostic
None,20260838,Commitment continuity diagnostic,Continuity.CommitmentTaskActiveStatusMismatchRate,restore_home_relevant_paired_snapshots=0,0.0,1.0,0.0,-1.0,0.0,Secondary commitment diagnostic
None,20260839,Commitment continuity diagnostic,Continuity.CommitmentTaskActiveStatusMismatchRate,restore_home_relevant_paired_snapshots=0,0.0,0.0,0.0,0.0,0.0,Secondary commitment diagnostic
None,20260840,Commitment continuity diagnostic,Continuity.CommitmentTaskActiveStatusMismatchRate,restore_home_relevant_paired_snapshots=0,0.0,1.0,0.0,-1.0,0.0,Secondary commitment diagnostic
None,20260841,Commitment continuity diagnostic,Continuity.CommitmentTaskActiveStatusMismatchRate,restore_home_relevant_paired_snapshots=0,0.0,1.0,0.0,-1.0,0.0,Secondary commitment diagnostic
None,20260842,Commitment continuity diagnostic,Continuity.CommitmentTaskActiveStatusMismatchRate,restore_home_relevant_paired_snapshots=0,0.0,1.0,0.0,-1.0,0.0,Secondary commitment diagnostic
None,20260843,Commitment continuity diagnostic,Continuity.CommitmentTaskActiveStatusMismatchRate,restore_home_relevant_paired_snapshots=0,0.0,1.0,0.0,-1.0,0.0,Secondary commitment diagnostic
None,20260844,Commitment continuity diagnostic,Continuity.CommitmentTaskActiveStatusMismatchRate,restore_home_relevant_paired_snapshots=0,0.0,0.0,0.0,0.0,0.0,Secondary commitment diagnostic
None,20260815,Commitment continuity diagnostic,Continuity.CommitmentTaskRemainingHoursMAE,hours;paired_restore_home_active_snapshots=0,0.0,0.0,0.0,0.0,0.0,Secondary commitment diagnostic
None,20260816,Commitment continuity diagnostic,Continuity.CommitmentTaskRemainingHoursMAE,hours;paired_restore_home_active_snapshots=0,0.0,0.0,0.0,0.0,0.0,Secondary commitment diagnostic
None,20260817,Commitment continuity diagnostic,Continuity.CommitmentTaskRemainingHoursMAE,hours;paired_restore_home_active_snapshots=0,0.0,0.0,0.0,0.0,0.0,Secondary commitment diagnostic
None,20260818,Commitment continuity diagnostic,Continuity.CommitmentTaskRemainingHoursMAE,hours;paired_restore_home_active_snapshots=0,0.0,0.0,0.0,0.0,0.0,Secondary commitment diagnostic
None,20260819,Commitment continuity diagnostic,Continuity.CommitmentTaskRemainingHoursMAE,hours;paired_restore_home_active_snapshots=0,6.0,0.0,0.0,6.0,6.0,Secondary commitment diagnostic
None,20260820,Commitment continuity diagnostic,Continuity.CommitmentTaskRemainingHoursMAE,hours;paired_restore_home_active_snapshots=0,0.0,0.0,0.0,0.0,0.0,Secondary commitment diagnostic
None,20260821,Commitment continuity diagnostic,Continuity.CommitmentTaskRemainingHoursMAE,hours;paired_restore_home_active_snapshots=0,0.0,0.0,0.0,0.0,0.0,Secondary commitment diagnostic
None,20260822,Commitment continuity diagnostic,Continuity.CommitmentTaskRemainingHoursMAE,hours;paired_restore_home_active_snapshots=0,0.0,0.0,0.0,0.0,0.0,Secondary commitment diagnostic
None,20260823,Commitment continuity diagnostic,Continuity.CommitmentTaskRemainingHoursMAE,hours;paired_restore_home_active_snapshots=0,0.0,0.0,0.0,0.0,0.0,Secondary commitment diagnostic
None,20260824,Commitment continuity diagnostic,Continuity.CommitmentTaskRemainingHoursMAE,hours;paired_restore_home_active_snapshots=0,0.0,0.0,0.0,0.0,0.0,Secondary commitment diagnostic
