scenario,metric_group,metric,scale,n,proposed_median,proposed_q1,proposed_q3,proposed_mean,simple_median,simple_q1,simple_q3,simple_mean,per_agent_median,per_agent_q1,per_agent_q3,per_agent_mean,proposed_minus_simple_mean,proposed_minus_simple_bootstrap_ci_low,proposed_minus_simple_bootstrap_ci_high,proposed_wins_vs_simple,ties_vs_simple,proposed_loses_vs_simple,proposed_minus_per_agent_mean,proposed_minus_per_agent_bootstrap_ci_low,proposed_minus_per_agent_bootstrap_ci_high,proposed_wins_vs_per_agent,ties_vs_per_agent,proposed_loses_vs_per_agent,interpretation_class
None,Behavior distribution,Behavior.TVD,fixed_8_categories,30,0.000322086015,0.000134233713,0.000751284535,0.0005115433517,0.781507371984,0.781423271928,0.7816404443175,0.7802797985005667,0.0,0.0,0.0,0.0,-0.7797682551488666,-0.7808967995068908,-0.7785591961918491,30,0,0,0.0005115433517,0.00036490369195333336,0.0006760000663841669,0,1,29,Primary accuracy
None,Commitment continuity diagnostic,Continuity.CommitmentTaskActiveStatusMismatchRate,restore_home_relevant_paired_snapshots=0,30,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9,0.0,0.0,0.0,0.0,-0.9,-1.0,-0.8,27,3,0,0.0,0.0,0.0,0,30,0,Secondary commitment diagnostic
None,Commitment continuity diagnostic,Continuity.CommitmentTaskRemainingHoursMAE,hours;paired_restore_home_active_snapshots=0,30,0.0,0.0,0.0,1.9809523809523666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9809523809523666,0.4666666666666667,3.980952380952367,0,24,6,1.9809523809523666,0.4666666666666667,3.980952380952367,0,24,6,Secondary commitment diagnostic
None,Player-visible continuity,Continuity.CurrentGoalMismatchRate,paired_snapshots=60,30,0.016666666667,0.016666666667,0.033333333333,0.025000000000133336,0.033333333333,0.016666666667,0.066666666667,0.04333333333336666,0.0,0.0,0.0,0.0,-0.018333333333233334,-0.02944444444433333,-0.008333333333266664,16,9,5,0.025000000000133336,0.018333333333500002,0.032222222222333334,0,5,25,Continuity
None,Internal diagnostic,Continuity.Diagnostic.EventIDExactMismatchRate,paired_snapshots=60;internal_representation_only,30,1.0,1.0,1.0,1.0,0.0916666666665,0.066666666667,0.133333333333,0.10944444444443333,0.0,0.0,0.0,0.0,0.8905555555555666,0.8705555555555322,0.9094444444444666,0,0,30,1.0,1.0,1.0,0,0,30,Diagnostic only
None,Internal diagnostic,Continuity.Diagnostic.ReservationIDExactMismatchRate,paired_snapshots=60;internal_representation_only,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,0,0.0,0.0,0.0,0,30,0,Diagnostic only
None,Internal diagnostic,Continuity.Diagnostic.TaskProgressExactMismatchRate,paired_snapshots=60;internal_representation_only,30,0.9083333333335,0.8708333333335,0.933333333333,0.8972222222221666,0.0916666666665,0.066666666667,0.133333333333,0.10944444444443333,0.0,0.0,0.0,0.0,0.7877777777777334,0.7488888888888667,0.8238888888889001,0,0,30,0.8972222222221666,0.8783333333333,0.9144444444444333,0,0,30,Diagnostic only
None,Player-visible continuity,Continuity.FirstActionMismatchRate,paired_snapshots=60,30,0.033333333333,0.016666666667,0.04583333333325,0.032222222222266665,0.033333333333,0.016666666667,0.066666666667,0.04333333333336666,0.0,0.0,0.0,0.0,-0.011111111111099999,-0.020555555555633334,-0.0027777777776999994,14,9,7,0.032222222222266665,0.024444444444466664,0.0405555555556,0,4,26,Continuity
None,Player-visible continuity,Continuity.HomeIDMismatchRate,paired_snapshots=60,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,0,0.0,0.0,0.0,0,30,0,Continuity
None,Player-visible continuity,Continuity.HomeStateMismatchRate,paired_snapshots=60,30,0.033333333333,0.016666666667,0.04583333333325,0.032222222222266665,0.166666666667,0.116666666667,0.183333333333,0.16222222222226668,0.0,0.0,0.0,0.0,-0.13,-0.14500000000006666,-0.11555555555550003,30,0,0,0.032222222222266665,0.024444444444466664,0.0405555555556,0,4,26,Continuity
None,Player-visible continuity,Continuity.InventoryWoodMAE,wood_per_paired_snapshot,30,0.066666666667,0.066666666667,0.133333333333,0.1066666666667,0.216666666667,0.15,0.25,0.21333333333333332,0.0,0.0,0.0,0.0,-0.10666666666663334,-0.13888888888883333,-0.0788888888887,30,0,0,0.1066666666667,0.07555555555559999,0.14000000000003332,0,7,23,Continuity
None,Player-visible continuity,Continuity.InventoryWoodMismatchRate,paired_snapshots=60,30,0.016666666667,0.016666666667,0.033333333333,0.0266666666667,0.1,0.1,0.116666666667,0.1083333333333,0.0,0.0,0.0,0.0,-0.0816666666666,-0.08888888888886666,-0.0749999999999,30,0,0,0.0266666666667,0.018888888888933333,0.03500000000003333,0,7,23,Continuity
None,Player-visible continuity,Continuity.InventoryWoodNormalizedMAE,abs_error_div_max_1_abs_oracle,30,0.066666666667,0.016666666667,0.09583333333325,0.06333333333336667,0.1,0.091666666667,0.116666666667,0.10458333333333333,0.0,0.0,0.0,0.0,-0.04124999999996667,-0.06013888888873332,-0.021944444444433338,24,0,6,0.06333333333336667,0.04333333333336666,0.08444444444446667,0,7,23,Continuity
None,Player-visible continuity,Continuity.KingdomMismatchRate,paired_snapshots=60,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,0,0.0,0.0,0.0,0,30,0,Continuity
None,Player-visible continuity,Continuity.MoneyMAE,coin_per_paired_snapshot,30,1.1416666666665,1.02500000000025,1.216666666667,1.1299999999999666,2.875,2.6791666666667497,2.9291666666665,2.8433333333333,0.0,0.0,0.0,0.0,-1.7133333333333334,-1.8005555555555663,-1.6238888888889003,30,0,0,1.1299999999999666,1.0777777777778332,1.1811111111111,0,0,30,Continuity
None,Player-visible continuity,Continuity.MoneyMismatchRate,paired_snapshots=60,30,0.7,0.65,0.74583333333325,0.6916666666666667,0.883333333333,0.83749999999975,0.9,0.8716666666666334,0.0,0.0,0.0,0.0,-0.1799999999999667,-0.21166666666669995,-0.14833333333326665,29,1,0,0.6916666666666667,0.6655555555555334,0.7172222222221334,0,0,30,Continuity
None,Player-visible continuity,Continuity.MoneyNormalizedMAE,abs_error_div_max_1_abs_oracle,30,0.6478571428575,0.570525793651,0.7130952380955,0.6498571428571667,2.0483531746035,1.7289285714290001,2.20634920634925,1.9857328042328668,0.0,0.0,0.0,0.0,-1.3358756613757,-1.4172739087301485,-1.2516953042329362,30,0,0,0.6498571428571667,0.6123728505290876,0.6880198743386825,0,0,30,Continuity
None,Player-visible continuity,Continuity.PersistentIDMismatchRate,paired_snapshots=60,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,0,0.0,0.0,0.0,0,30,0,Continuity
