scenario,seed,paired_snapshots,mismatches,mismatch_rate,proposed_active_oracle_inactive,proposed_inactive_oracle_active,both_active,both_inactive,same_goal_among_mismatches,same_first_action_among_mismatches,same_home_state_among_mismatches,routine_life_routine_mismatches,commitment_related_mismatches,proposed_hours_median_among_mismatches,oracle_hours_median_among_mismatches
None,20260815,60,55,0.9166666666666666,55,0,5,0,55,55,55,55,0,8.0,0.0
None,20260816,60,55,0.9166666666666666,55,0,5,0,55,55,55,55,0,8.0,0.0
None,20260817,60,53,0.8833333333333333,53,0,7,0,53,53,53,53,0,8.0,0.0
None,20260818,60,56,0.9333333333333333,56,0,4,0,56,56,56,56,0,8.0,0.0
None,20260819,60,47,0.7833333333333333,47,0,13,0,47,47,47,47,0,8.0,0.0
None,20260820,60,56,0.9333333333333333,56,0,4,0,56,56,56,56,0,8.0,0.0
None,20260821,60,56,0.9333333333333333,56,0,4,0,56,56,56,56,0,8.0,0.0
None,20260822,60,46,0.7666666666666667,46,0,14,0,46,46,46,46,0,8.0,0.0
None,20260823,60,49,0.8166666666666667,49,0,11,0,49,49,49,49,0,8.0,0.0
None,20260824,60,56,0.9333333333333333,56,0,4,0,56,56,56,56,0,8.0,0.0
None,20260825,60,56,0.9333333333333333,56,0,4,0,56,56,56,56,0,8.0,0.0
None,20260826,60,53,0.8833333333333333,53,0,7,0,53,53,53,53,0,8.0,0.0
None,20260827,60,47,0.7833333333333333,47,0,13,0,47,47,47,47,0,8.0,0.0
None,20260828,60,51,0.85,51,0,9,0,51,51,51,51,0,8.0,0.0
None,20260829,60,55,0.9166666666666666,55,0,5,0,55,55,55,55,0,8.0,0.0
None,20260830,60,50,0.8333333333333334,50,0,10,0,50,50,50,50,0,8.0,0.0
None,20260831,60,52,0.8666666666666667,52,0,8,0,52,52,52,52,0,8.0,0.0
None,20260832,60,53,0.8833333333333333,53,0,7,0,53,53,53,53,0,8.0,0.0
None,20260833,60,55,0.9166666666666666,55,0,5,0,55,55,55,55,0,8.0,0.0
None,20260834,60,52,0.8666666666666667,52,0,8,0,52,52,52,52,0,8.0,0.0
None,20260835,60,55,0.9166666666666666,55,0,5,0,55,55,55,55,0,8.0,0.0
None,20260836,60,54,0.9,54,0,6,0,54,54,54,54,0,8.0,0.0
None,20260837,60,52,0.8666666666666667,52,0,8,0,52,52,52,52,0,8.0,0.0
None,20260838,60,52,0.8666666666666667,52,0,8,0,52,52,52,52,0,8.0,0.0
None,20260839,60,58,0.9666666666666667,58,0,2,0,58,58,58,58,0,8.0,0.0
None,20260840,60,57,0.95,57,0,3,0,57,57,57,57,0,8.0,0.0
None,20260841,60,50,0.8333333333333334,50,0,10,0,50,50,50,50,0,8.0,0.0
None,20260842,60,57,0.95,57,0,3,0,57,57,57,57,0,8.0,0.0
None,20260843,60,57,0.95,57,0,3,0,57,57,57,57,0,8.0,0.0
None,20260844,60,58,0.9666666666666667,58,0,2,0,58,58,58,58,0,8.0,0.0
HarvestCap,20260815,60,55,0.9166666666666666,55,0,5,0,55,55,55,55,0,8.0,0.0
HarvestCap,20260816,60,55,0.9166666666666666,55,0,5,0,55,55,55,55,0,8.0,0.0
HarvestCap,20260817,60,53,0.8833333333333333,53,0,7,0,53,53,53,53,0,8.0,0.0
HarvestCap,20260818,60,56,0.9333333333333333,56,0,4,0,56,56,56,56,0,8.0,0.0
HarvestCap,20260819,60,47,0.7833333333333333,47,0,13,0,47,47,47,47,0,8.0,0.0
HarvestCap,20260820,60,56,0.9333333333333333,56,0,4,0,56,56,56,56,0,8.0,0.0
HarvestCap,20260821,60,56,0.9333333333333333,56,0,4,0,56,56,56,56,0,8.0,0.0
HarvestCap,20260822,60,46,0.7666666666666667,46,0,14,0,46,46,46,46,0,8.0,0.0
HarvestCap,20260823,60,49,0.8166666666666667,49,0,11,0,49,49,49,49,0,8.0,0.0
HarvestCap,20260824,60,56,0.9333333333333333,56,0,4,0,56,56,56,56,0,8.0,0.0
HarvestCap,20260825,60,56,0.9333333333333333,56,0,4,0,56,56,56,56,0,8.0,0.0
HarvestCap,20260826,60,53,0.8833333333333333,53,0,7,0,53,53,53,53,0,8.0,0.0
HarvestCap,20260827,60,47,0.7833333333333333,47,0,13,0,47,47,47,47,0,8.0,0.0
HarvestCap,20260828,60,51,0.85,51,0,9,0,51,51,51,51,0,8.0,0.0
HarvestCap,20260829,60,55,0.9166666666666666,55,0,5,0,55,55,55,55,0,8.0,0.0
HarvestCap,20260830,60,50,0.8333333333333334,50,0,10,0,50,50,50,50,0,8.0,0.0
HarvestCap,20260831,60,52,0.8666666666666667,52,0,8,0,52,52,52,52,0,8.0,0.0
HarvestCap,20260832,60,53,0.8833333333333333,53,0,7,0,53,53,53,53,0,8.0,0.0
HarvestCap,20260833,60,55,0.9166666666666666,55,0,5,0,55,55,55,55,0,8.0,0.0
HarvestCap,20260834,60,52,0.8666666666666667,52,0,8,0,52,52,52,52,0,8.0,0.0
HarvestCap,20260835,60,55,0.9166666666666666,55,0,5,0,55,55,55,55,0,8.0,0.0
HarvestCap,20260836,60,54,0.9,54,0,6,0,54,54,54,54,0,8.0,0.0
HarvestCap,20260837,60,52,0.8666666666666667,52,0,8,0,52,52,52,52,0,8.0,0.0
HarvestCap,20260838,60,52,0.8666666666666667,52,0,8,0,52,52,52,52,0,8.0,0.0
HarvestCap,20260839,60,58,0.9666666666666667,58,0,2,0,58,58,58,58,0,8.0,0.0
HarvestCap,20260840,60,57,0.95,57,0,3,0,57,57,57,57,0,8.0,0.0
HarvestCap,20260841,60,50,0.8333333333333334,50,0,10,0,50,50,50,50,0,8.0,0.0
HarvestCap,20260842,60,57,0.95,57,0,3,0,57,57,57,57,0,8.0,0.0
HarvestCap,20260843,60,57,0.95,57,0,3,0,57,57,57,57,0,8.0,0.0
HarvestCap,20260844,60,58,0.9666666666666667,58,0,2,0,58,58,58,58,0,8.0,0.0
StateImport,20260815,60,55,0.9166666666666666,55,0,5,0,55,55,55,55,0,8.0,0.0
StateImport,20260816,60,55,0.9166666666666666,55,0,5,0,55,55,55,55,0,8.0,0.0
StateImport,20260817,60,53,0.8833333333333333,53,0,7,0,53,53,53,53,0,8.0,0.0
StateImport,20260818,60,56,0.9333333333333333,56,0,4,0,56,56,56,56,0,8.0,0.0
StateImport,20260819,60,47,0.7833333333333333,47,0,13,0,47,47,47,47,0,8.0,0.0
StateImport,20260820,60,56,0.9333333333333333,56,0,4,0,56,56,56,56,0,8.0,0.0
StateImport,20260821,60,56,0.9333333333333333,56,0,4,0,56,56,56,56,0,8.0,0.0
StateImport,20260822,60,46,0.7666666666666667,46,0,14,0,46,46,46,46,0,8.0,0.0
StateImport,20260823,60,49,0.8166666666666667,49,0,11,0,49,49,49,49,0,8.0,0.0
StateImport,20260824,60,56,0.9333333333333333,56,0,4,0,56,56,56,56,0,8.0,0.0
StateImport,20260825,60,56,0.9333333333333333,56,0,4,0,56,56,56,56,0,8.0,0.0
StateImport,20260826,60,53,0.8833333333333333,53,0,7,0,53,53,53,53,0,8.0,0.0
StateImport,20260827,60,47,0.7833333333333333,47,0,13,0,47,47,47,47,0,8.0,0.0
StateImport,20260828,60,51,0.85,51,0,9,0,51,51,51,51,0,8.0,0.0
StateImport,20260829,60,55,0.9166666666666666,55,0,5,0,55,55,55,55,0,8.0,0.0
StateImport,20260830,60,50,0.8333333333333334,50,0,10,0,50,50,50,50,0,8.0,0.0
StateImport,20260831,60,52,0.8666666666666667,52,0,8,0,52,52,52,52,0,8.0,0.0
StateImport,20260832,60,53,0.8833333333333333,53,0,7,0,53,53,53,53,0,8.0,0.0
StateImport,20260833,60,55,0.9166666666666666,55,0,5,0,55,55,55,55,0,8.0,0.0
StateImport,20260834,60,52,0.8666666666666667,52,0,8,0,52,52,52,52,0,8.0,0.0
StateImport,20260835,60,55,0.9166666666666666,55,0,5,0,55,55,55,55,0,8.0,0.0
StateImport,20260836,60,54,0.9,54,0,6,0,54,54,54,54,0,8.0,0.0
StateImport,20260837,60,52,0.8666666666666667,52,0,8,0,52,52,52,52,0,8.0,0.0
StateImport,20260838,60,52,0.8666666666666667,52,0,8,0,52,52,52,52,0,8.0,0.0
StateImport,20260839,60,58,0.9666666666666667,58,0,2,0,58,58,58,58,0,8.0,0.0
StateImport,20260840,60,57,0.95,57,0,3,0,57,57,57,57,0,8.0,0.0
StateImport,20260841,60,50,0.8333333333333334,50,0,10,0,50,50,50,50,0,8.0,0.0
StateImport,20260842,60,57,0.95,57,0,3,0,57,57,57,57,0,8.0,0.0
StateImport,20260843,60,57,0.95,57,0,3,0,57,57,57,57,0,8.0,0.0
StateImport,20260844,60,58,0.9666666666666667,58,0,2,0,58,58,58,58,0,8.0,0.0
RepairAid,20260815,60,55,0.9166666666666666,55,0,5,0,55,55,55,55,0,8.0,0.0
RepairAid,20260816,60,55,0.9166666666666666,55,0,5,0,55,55,55,55,0,8.0,0.0
RepairAid,20260817,60,53,0.8833333333333333,53,0,7,0,53,53,53,53,0,8.0,0.0
RepairAid,20260818,60,56,0.9333333333333333,56,0,4,0,56,56,56,56,0,8.0,0.0
RepairAid,20260819,60,47,0.7833333333333333,47,0,13,0,47,47,47,47,0,8.0,0.0
RepairAid,20260820,60,56,0.9333333333333333,56,0,4,0,56,56,56,56,0,8.0,0.0
RepairAid,20260821,60,56,0.9333333333333333,56,0,4,0,56,56,56,56,0,8.0,0.0
RepairAid,20260822,60,46,0.7666666666666667,46,0,14,0,46,46,46,46,0,8.0,0.0
RepairAid,20260823,60,49,0.8166666666666667,49,0,11,0,49,49,49,49,0,8.0,0.0
RepairAid,20260824,60,56,0.9333333333333333,56,0,4,0,56,56,56,56,0,8.0,0.0
RepairAid,20260825,60,56,0.9333333333333333,56,0,4,0,56,56,56,56,0,8.0,0.0
RepairAid,20260826,60,53,0.8833333333333333,53,0,7,0,53,53,53,53,0,8.0,0.0
RepairAid,20260827,60,47,0.7833333333333333,47,0,13,0,47,47,47,47,0,8.0,0.0
RepairAid,20260828,60,51,0.85,51,0,9,0,51,51,51,51,0,8.0,0.0
RepairAid,20260829,60,55,0.9166666666666666,55,0,5,0,55,55,55,55,0,8.0,0.0
