scenario,metric,threshold,unit,rule,min,median,max,seeds_exceeding,seed_count,status
None,Continuity.MoneyMAE,2.0,coin,> threshold triggers review,0.833333333333,1.1416666666665,1.45,0,30,WITHIN
None,Continuity.RepairCreditMAE,1.0,coin,> threshold triggers review,0.0,0.0,0.0,0,30,WITHIN
None,Continuity.InventoryWoodMAE,1.0,wood,> threshold triggers review,0.0,0.066666666667,0.333333333333,0,30,WITHIN
None,Continuity.HomeStateMismatchRate,0.1,rate,> threshold triggers review,0.0,0.033333333333,0.083333333333,0,30,WITHIN
None,Continuity.FirstActionMismatchRate,0.1,rate,> threshold triggers review,0.0,0.033333333333,0.083333333333,0,30,WITHIN
None,Continuity.TaskActiveStatusMismatchRate,0.1,rate,> threshold triggers review,0.766666666667,0.9083333333335,0.966666666667,30,30,REVIEW
None,Continuity.TaskRemainingHoursMAE,4.0,hours,> threshold triggers review,0.0,0.0,6.0,1,30,REVIEW
HarvestCap,Continuity.MoneyMAE,2.0,coin,> threshold triggers review,0.833333333333,1.1416666666665,1.45,0,30,WITHIN
HarvestCap,Continuity.RepairCreditMAE,1.0,coin,> threshold triggers review,0.0,0.0,0.0,0,30,WITHIN
HarvestCap,Continuity.InventoryWoodMAE,1.0,wood,> threshold triggers review,0.0,0.066666666667,0.333333333333,0,30,WITHIN
HarvestCap,Continuity.HomeStateMismatchRate,0.1,rate,> threshold triggers review,0.0,0.033333333333,0.083333333333,0,30,WITHIN
HarvestCap,Continuity.FirstActionMismatchRate,0.1,rate,> threshold triggers review,0.0,0.033333333333,0.083333333333,0,30,WITHIN
HarvestCap,Continuity.TaskActiveStatusMismatchRate,0.1,rate,> threshold triggers review,0.766666666667,0.9083333333335,0.966666666667,30,30,REVIEW
HarvestCap,Continuity.TaskRemainingHoursMAE,4.0,hours,> threshold triggers review,0.0,0.0,6.0,1,30,REVIEW
StateImport,Continuity.MoneyMAE,2.0,coin,> threshold triggers review,0.833333333333,1.1416666666665,1.45,0,30,WITHIN
StateImport,Continuity.RepairCreditMAE,1.0,coin,> threshold triggers review,0.0,0.0,0.0,0,30,WITHIN
StateImport,Continuity.InventoryWoodMAE,1.0,wood,> threshold triggers review,0.0,0.066666666667,0.333333333333,0,30,WITHIN
StateImport,Continuity.HomeStateMismatchRate,0.1,rate,> threshold triggers review,0.0,0.033333333333,0.083333333333,0,30,WITHIN
StateImport,Continuity.FirstActionMismatchRate,0.1,rate,> threshold triggers review,0.0,0.033333333333,0.083333333333,0,30,WITHIN
StateImport,Continuity.TaskActiveStatusMismatchRate,0.1,rate,> threshold triggers review,0.766666666667,0.9083333333335,0.966666666667,30,30,REVIEW
StateImport,Continuity.TaskRemainingHoursMAE,4.0,hours,> threshold triggers review,0.0,0.0,6.0,1,30,REVIEW
RepairAid,Continuity.MoneyMAE,2.0,coin,> threshold triggers review,0.866666666667,1.183333333333,1.466666666667,0,30,WITHIN
RepairAid,Continuity.RepairCreditMAE,1.0,coin,> threshold triggers review,0.0,0.0,0.066666666667,0,30,WITHIN
RepairAid,Continuity.InventoryWoodMAE,1.0,wood,> threshold triggers review,0.0,0.066666666667,0.333333333333,0,30,WITHIN
RepairAid,Continuity.HomeStateMismatchRate,0.1,rate,> threshold triggers review,0.0,0.033333333333,0.083333333333,0,30,WITHIN
RepairAid,Continuity.FirstActionMismatchRate,0.1,rate,> threshold triggers review,0.0,0.033333333333,0.083333333333,0,30,WITHIN
RepairAid,Continuity.TaskActiveStatusMismatchRate,0.1,rate,> threshold triggers review,0.766666666667,0.9083333333335,0.966666666667,30,30,REVIEW
RepairAid,Continuity.TaskRemainingHoursMAE,4.0,hours,> threshold triggers review,0.0,0.0,6.0,1,30,REVIEW
